State Name,Place Name,Type of Tourist Place,Best Time to Visit,Popularity,Rating,Budget,Type of Tour Package,No. of Days Preferred
Andhra Pradesh,Araku Valley,Hills,October to March,Very Popular,4.7,Moderate,Family,3
Andhra Pradesh,Borra Caves,Adventure,October to March,Popular,4.5,Moderate,Friends,2
Andhra Pradesh,Visakhapatnam Beach,Beaches,November to February,Very Popular,4.6,Moderate,Family,3
Andhra Pradesh,Simhachalam Temple,Devotional,October to March,Very Popular,4.8,Low,Family,1
Andhra Pradesh,Tirumala Temple,Devotional,All year round,Extremely Popular,4.9,Moderate,Family,2
Andhra Pradesh,Lepakshi,Historical,October to February,Popular,4.5,Low,Family,1
Andhra Pradesh,Belum Caves,Adventure,October to March,Popular,4.4,Moderate,Friends,2
Andhra Pradesh,Gandikota,Historical,October to March,Very Popular,4.6,Moderate,Friends,2
Andhra Pradesh,Ahobilam,Devotional,October to March,Popular,4.4,Moderate,Family,2
Andhra Pradesh,Nagarjunakonda,Historical,October to March,Popular,4.3,Moderate,Family,2
Andhra Pradesh,Amaravati Monastery,Educational,November to February,Popular,4.3,Low,Solo,1
Andhra Pradesh,Undavalli Caves,Historical,November to February,Popular,4.4,Low,Friends,1
Andhra Pradesh,Sri Kalahasti Temple,Devotional,All year round,Very Popular,4.7,Moderate,Family,1
Andhra Pradesh,Suryalanka Beach,Beaches,November to February,Popular,4.5,Moderate,Friends,2
Andhra Pradesh,Rushikonda Beach,Beaches,November to February,Very Popular,4.6,Moderate,Family,3
Andhra Pradesh,Kailasagiri Park,Parks,October to March,Very Popular,4.7,Low,Family,1
Andhra Pradesh,Indira Gandhi Zoological Park,Wildlife,October to March,Popular,4.4,Low,Family,1
Andhra Pradesh,Horsley Hills,Hills,November to February,Popular,4.3,Moderate,Friends,2
Andhra Pradesh,Chandragiri Fort,Historical,October to March,Popular,4.4,Low,Family,1
Andhra Pradesh,Ettipotala Waterfalls,Adventure,October to February,Popular,4.5,Moderate,Friends,2
Andhra Pradesh,Kotappakonda Temple,Devotional,October to March,Popular,4.3,Low,Family,1
Andhra Pradesh,Thotlakonda Monastery,Educational,November to February,Popular,4.4,Low,Solo,1
Andhra Pradesh,Yarada Beach,Beaches,November to February,Popular,4.5,Moderate,Friends,2
Andhra Pradesh,VUDA Park,Parks,October to March,Popular,4.3,Low,Family,1
Andhra Pradesh,Mahanandi Temple,Devotional,All year round,Very Popular,4.6,Moderate,Family,1
Andhra Pradesh,Iskon Temple Vijayawada,Devotional,All year round,Popular,4.5,Low,Family,1
Andhra Pradesh,Rock Garden,Adventure,October to February,Popular,4.3,Moderate,Friends,2
Andhra Pradesh,Annavaram Temple,Devotional,All year round,Very Popular,4.7,Moderate,Family,1
Andhra Pradesh,Veerabhadra Temple,Historical,October to March,Popular,4.4,Low,Family,1
Andhra Pradesh,Bhavani Island,Adventure,October to March,Popular,4.5,Moderate,Friends,2
Andhra Pradesh,Gopalapuram Wildlife Sanctuary,Wildlife,October to February,Popular,4.3,Moderate,Friends,2
Andhra Pradesh,Rayalacheruvu Lake,Parks,November to February,Popular,4.3,Low,Family,1
Andhra Pradesh,Kambalakonda Wildlife Sanctuary,Wildlife,October to February,Popular,4.4,Moderate,Friends,2
Andhra Pradesh,Pulicat Lake Bird Sanctuary,Wildlife,November to February,Popular,4.5,Moderate,Family,2
Andhra Pradesh,Papi Hills,Adventure,October to March,Popular,4.6,Moderate,Friends,2
Andhra Pradesh,Vontimitta Temple,Devotional,All year round,Popular,4.4,Low,Family,1
Andhra Pradesh,Uppalapadu Bird Sanctuary,Wildlife,November to February,Popular,4.3,Low,Family,1
Andhra Pradesh,Someswara Temple,Devotional,All year round,Popular,4.4,Low,Family,1
Andhra Pradesh,Kondaveedu Fort,Historical,October to March,Popular,4.3,Low,Friends,1
Andhra Pradesh,Bhavanasi Lake,Parks,November to February,Popular,4.4,Low,Family,1
Andhra Pradesh,Sri Venkateswara National Park,Wildlife,October to February,Popular,4.5,Moderate,Family,2
Andhra Pradesh,Alipiri Steps,Devotional,All year round,Very Popular,4.6,Low,Family,1
Andhra Pradesh,Sri Venkateswara Zoological Park,Wildlife,October to March,Popular,4.4,Moderate,Family,2
Andhra Pradesh,Nellapattu Bird Sanctuary,Wildlife,November to February,Popular,4.3,Low,Family,1
Andhra Pradesh,Mogalarajapuram Caves,Historical,October to March,Popular,4.2,Low,Friends,1
Andhra Pradesh,Kanaka Durga Temple,Devotional,All year round,Very Popular,4.7,Moderate,Family,1
Andhra Pradesh,Victoria Jubilee Museum,Educational,October to March,Popular,4.3,Low,Solo,1
Andhra Pradesh,Surendrapuri Museum,Educational,October to March,Popular,4.5,Low,Family,1
Andhra Pradesh,Basara Saraswati Temple,Devotional,All year round,Popular,4.5,Moderate,Family,1
Tamil Nadu,Ooty,Hills,October to June,Very Popular,4.8,Moderate,Family,3
Tamil Nadu,Kodaikanal,Hills,September to May,Very Popular,4.7,Moderate,Family,3
Tamil Nadu,Marina Beach,Beaches,November to February,Extremely Popular,4.6,Low,Friends,1
Tamil Nadu,Rameswaram,Devotional,All year round,Very Popular,4.8,Moderate,Family,2
Tamil Nadu,Mahabalipuram,Monuments,October to March,Very Popular,4.7,Moderate,Family,2
Tamil Nadu,Kanyakumari,Beaches,October to March,Very Popular,4.6,Moderate,Family,2
Tamil Nadu,Meenakshi Temple,Devotional,All year round,Extremely Popular,4.9,Moderate,Family,1
Tamil Nadu,Vivekananda Rock Memorial,Monuments,October to March,Very Popular,4.7,Low,Family,1
Tamil Nadu,Thanjavur Brihadeeswarar Temple,Historical,October to March,Very Popular,4.8,Low,Family,1
Tamil Nadu,Yercaud,Hills,October to June,Popular,4.5,Moderate,Friends,2
Tamil Nadu,Mudumalai Wildlife Sanctuary,Wildlife,October to May,Very Popular,4.6,Moderate,Family,2
Tamil Nadu,Gingee Fort,Historical,October to March,Popular,4.4,Low,Friends,1
Tamil Nadu,Coakers Walk,Parks,September to May,Popular,4.5,Low,Family,1
Tamil Nadu,Arignar Anna Zoological Park,Wildlife,October to March,Very Popular,4.6,Low,Family,1
Tamil Nadu,Hogenakkal Falls,Adventure,October to March,Popular,4.5,Moderate,Friends,2
Tamil Nadu,Vellore Fort,Historical,October to March,Popular,4.4,Low,Family,1
Tamil Nadu,Kolli Hills,Hills,October to May,Popular,4.5,Moderate,Friends,2
Tamil Nadu,Sri Ranganathaswamy Temple,Devotional,All year round,Very Popular,4.8,Moderate,Family,1
Tamil Nadu,Pichavaram Mangrove Forest,Adventure,October to March,Popular,4.5,Moderate,Friends,2
Tamil Nadu,Kalpakkam Beach,Beaches,November to February,Popular,4.3,Low,Friends,1
Tamil Nadu,Guindy National Park,Wildlife,October to March,Popular,4.4,Low,Family,1
Tamil Nadu,Silver Cascade Falls,Parks,October to March,Popular,4.4,Low,Family,1
Tamil Nadu,Thiruvannamalai Temple,Devotional,All year round,Very Popular,4.7,Moderate,Family,1
Tamil Nadu,Sankagiri Fort,Historical,October to March,Popular,4.3,Low,Friends,1
Tamil Nadu,Santhome Cathedral Basilica,Monuments,All year round,Popular,4.5,Low,Family,1
Tamil Nadu,Anamalai Tiger Reserve,Wildlife,October to May,Popular,4.5,Moderate,Friends,2
Tamil Nadu,Kutralam Falls,Adventure,October to March,Popular,4.5,Moderate,Friends,2
Tamil Nadu,Auroville,Educational,October to March,Very Popular,4.6,Low,Solo,2
Tamil Nadu,Rockfort Temple,Historical,October to March,Very Popular,4.7,Low,Family,1
Tamil Nadu,Velankanni Church,Devotional,All year round,Very Popular,4.8,Moderate,Family,2
Tamil Nadu,Mayiladuthurai,Historical,October to March,Popular,4.3,Low,Family,1
Tamil Nadu,Kumbakonam,Historical,October to March,Very Popular,4.6,Low,Family,2
Tamil Nadu,Marudhamalai Temple,Devotional,All year round,Popular,4.5,Low,Family,1
Tamil Nadu,Pamban Bridge,Monuments,October to March,Popular,4.5,Low,Family,1
Tamil Nadu,Theni,Hills,October to March,Popular,4.4,Moderate,Friends,2
Tamil Nadu,Sathanur Dam,Parks,October to March,Popular,4.3,Low,Family,1
Tamil Nadu,Danish Fort,Historical,October to March,Popular,4.4,Low,Friends,1
Tamil Nadu,Kanyakumari Temple,Devotional,All year round,Very Popular,4.7,Moderate,Family,1
Tamil Nadu,Adiyogi Shiva Statue,Monuments,All year round,Very Popular,4.8,Low,Family,1
Tamil Nadu,Anna Science Centre Planetarium,Educational,October to March,Popular,4.3,Low,Solo,1
Tamil Nadu,Chettinad Palace,Historical,October to March,Popular,4.4,Moderate,Family,1
Tamil Nadu,Botanical Gardens,Parks,October to June,Very Popular,4.7,Low,Family,1
Tamil Nadu,Thirumoorthy Hills,Hills,October to March,Popular,4.4,Moderate,Friends,2
Tamil Nadu,Manimuthar Falls,Adventure,October to March,Popular,4.5,Moderate,Friends,2
Tamil Nadu,Chennai Rail Museum,Educational,October to March,Popular,4.3,Low,Family,1
Tamil Nadu,Poondi Reservoir,Parks,October to March,Popular,4.3,Low,Family,1
Tamil Nadu,Kanjanur Temple,Devotional,All year round,Popular,4.4,Low,Family,1
Tamil Nadu,Tirunelveli,Nature,October to March,Popular,4.5,Moderate,Family,2
Telangana,Charminar,Historical,October to March,Very Popular,4.8,Low,Family,1
Telangana,Golconda Fort,Historical,October to March,Very Popular,4.7,Low,Family,1
Telangana,Ramoji Film City,Adventure,October to March,Extremely Popular,4.9,High,Family,2
Telangana,Hussain Sagar Lake,Parks,November to February,Very Popular,4.6,Moderate,Friends,1
Telangana,Birla Mandir,Devotional,All year round,Very Popular,4.7,Low,Family,1
Telangana,Nehru Zoological Park,Wildlife,October to March,Popular,4.5,Low,Family,1
Telangana,Salar Jung Museum,Educational,October to March,Very Popular,4.8,Low,Solo,1
Telangana,Chowmahalla Palace,Historical,October to March,Popular,4.6,Low,Family,1
Telangana,Nagarjuna Sagar Dam,Adventure,October to March,Popular,4.5,Moderate,Friends,2
